CS_Site_ID,ERF_ID,Source_ID,Rupture_ID,Cutoff_Dist,Site_Rupture_Dist
1,100,36,0,200,46.0756
2,100,36,0,200,31.5764
3,100,36,0,200,34.0208
4,100,36,0,200,25.3141
5,100,36,0,200,47.0153
6,100,36,0,200,21.6996
7,100,36,0,200,35.0656
8,100,36,0,200,65.7137
9,100,36,0,200,61.094
10,100,36,0,200,39.9009
11,100,36,0,200,21.4457
102,100,36,0,200,67.5365
104,100,36,0,200,77.1763
105,100,36,0,200,28.3684
112,100,36,0,200,58.4856
301,100,36,0,200,1.82976
303,100,36,0,200,12.6969
306,100,36,0,200,58.9212
308,100,36,0,200,9.4671
309,100,36,0,200,9.50694
310,100,36,0,200,9.4671
313,100,36,0,200,77.9818
403,100,36,0,200,95.668
501,100,36,0,200,68.9047
502,100,36,0,200,41.1702
1,100,36,1,200,46.0756
2,100,36,1,200,31.5764
3,100,36,1,200,34.0208
4,100,36,1,200,25.3141
5,100,36,1,200,47.0153
6,100,36,1,200,21.6996
7,100,36,1,200,35.0656
8,100,36,1,200,65.7137
9,100,36,1,200,61.094
10,100,36,1,200,39.9009
11,100,36,1,200,21.4457
102,100,36,1,200,67.5365
104,100,36,1,200,77.1763
105,100,36,1,200,28.3684
112,100,36,1,200,58.4856
301,100,36,1,200,1.82976
303,100,36,1,200,12.6969
306,100,36,1,200,58.9212
308,100,36,1,200,9.4671
309,100,36,1,200,9.50694
310,100,36,1,200,9.4671
313,100,36,1,200,77.9818
403,100,36,1,200,95.668
501,100,36,1,200,68.9047
502,100,36,1,200,41.1702
1,100,36,2,200,46.0756
2,100,36,2,200,31.5764
3,100,36,2,200,34.0208
4,100,36,2,200,25.3141
5,100,36,2,200,47.0153
6,100,36,2,200,21.6996
7,100,36,2,200,35.0656
8,100,36,2,200,65.7137
9,100,36,2,200,61.094
10,100,36,2,200,39.9009
11,100,36,2,200,21.4457
102,100,36,2,200,67.5365
104,100,36,2,200,77.1763
105,100,36,2,200,28.3684
112,100,36,2,200,58.4856
301,100,36,2,200,1.82976
303,100,36,2,200,12.6969
306,100,36,2,200,58.9212
308,100,36,2,200,9.4671
309,100,36,2,200,9.50694
310,100,36,2,200,9.4671
313,100,36,2,200,77.9818
403,100,36,2,200,95.668
501,100,36,2,200,68.9047
502,100,36,2,200,41.1702
1,100,36,3,200,46.0756
2,100,36,3,200,31.5764
3,100,36,3,200,34.0208
4,100,36,3,200,25.3141
5,100,36,3,200,47.0153
6,100,36,3,200,21.6996
7,100,36,3,200,35.0656
8,100,36,3,200,65.7137
9,100,36,3,200,61.094
10,100,36,3,200,39.9009
11,100,36,3,200,21.4457
102,100,36,3,200,67.5365
104,100,36,3,200,77.1763
105,100,36,3,200,28.3684
112,100,36,3,200,58.4856
301,100,36,3,200,1.82976
303,100,36,3,200,12.6969
306,100,36,3,200,58.9212
308,100,36,3,200,9.4671
309,100,36,3,200,9.50694
310,100,36,3,200,9.4671
313,100,36,3,200,77.9818
403,100,36,3,200,95.668
501,100,36,3,200,68.9047
502,100,36,3,200,41.1702
1,100,36,4,200,46.0756
2,100,36,4,200,31.5764
3,100,36,4,200,34.0208
4,100,36,4,200,25.3141
5,100,36,4,200,47.0153
6,100,36,4,200,21.6996
7,100,36,4,200,35.0656
8,100,36,4,200,65.7137
9,100,36,4,200,61.094
10,100,36,4,200,39.9009
11,100,36,4,200,21.4457
102,100,36,4,200,67.5365
104,100,36,4,200,77.1763
105,100,36,4,200,28.3684
112,100,36,4,200,58.4856
301,100,36,4,200,1.82976
303,100,36,4,200,12.6969
306,100,36,4,200,58.9212
308,100,36,4,200,9.4671
309,100,36,4,200,9.50694
310,100,36,4,200,9.4671
313,100,36,4,200,77.9818
403,100,36,4,200,95.668
501,100,36,4,200,68.9047
502,100,36,4,200,41.1702
1,100,36,5,200,46.0756
2,100,36,5,200,31.5764
3,100,36,5,200,34.0208
4,100,36,5,200,25.3141
5,100,36,5,200,47.0153
6,100,36,5,200,21.6996
7,100,36,5,200,35.0656
8,100,36,5,200,65.7137
9,100,36,5,200,61.094
10,100,36,5,200,39.9009
11,100,36,5,200,21.4457
102,100,36,5,200,67.5365
104,100,36,5,200,77.1763
105,100,36,5,200,28.3684
112,100,36,5,200,58.4856
301,100,36,5,200,1.82976
303,100,36,5,200,12.6969
306,100,36,5,200,58.9212
308,100,36,5,200,9.4671
309,100,36,5,200,9.50694
310,100,36,5,200,9.4671
313,100,36,5,200,77.9818
403,100,36,5,200,95.668
501,100,36,5,200,68.9047
502,100,36,5,200,41.1702
1,100,36,6,200,46.0756
2,100,36,6,200,31.5764
3,100,36,6,200,34.0208
4,100,36,6,200,25.3141
5,100,36,6,200,47.0153
6,100,36,6,200,21.6996
7,100,36,6,200,35.0656
8,100,36,6,200,65.7137
9,100,36,6,200,61.094
10,100,36,6,200,39.9009
11,100,36,6,200,21.4457
102,100,36,6,200,67.5365
104,100,36,6,200,77.1763
105,100,36,6,200,28.3684
112,100,36,6,200,58.4856
301,100,36,6,200,1.82976
303,100,36,6,200,12.6969
306,100,36,6,200,58.9212
308,100,36,6,200,9.4671
309,100,36,6,200,9.50694
310,100,36,6,200,9.4671
313,100,36,6,200,77.9818
403,100,36,6,200,95.668
501,100,36,6,200,68.9047
502,100,36,6,200,41.1702
1,100,36,7,200,46.0756
2,100,36,7,200,31.5764
3,100,36,7,200,34.0208
4,100,36,7,200,25.3141
5,100,36,7,200,47.0153
6,100,36,7,200,21.6996
7,100,36,7,200,35.0656
8,100,36,7,200,65.7137
9,100,36,7,200,61.094
10,100,36,7,200,39.9009
11,100,36,7,200,21.4457
102,100,36,7,200,67.5365
104,100,36,7,200,77.1763
105,100,36,7,200,28.3684
112,100,36,7,200,58.4856
301,100,36,7,200,1.82976
303,100,36,7,200,12.6969
306,100,36,7,200,58.9212
308,100,36,7,200,9.4671
309,100,36,7,200,9.50694
310,100,36,7,200,9.4671
313,100,36,7,200,77.9818
403,100,36,7,200,95.668
501,100,36,7,200,68.9047
502,100,36,7,200,41.1702
1,100,36,8,200,46.0756
2,100,36,8,200,31.5764
3,100,36,8,200,34.0208
4,100,36,8,200,25.3141
5,100,36,8,200,47.0153
6,100,36,8,200,21.6996
7,100,36,8,200,35.0656
8,100,36,8,200,65.7137
9,100,36,8,200,61.094
10,100,36,8,200,39.9009
11,100,36,8,200,21.4457
102,100,36,8,200,67.5365
104,100,36,8,200,77.1763
105,100,36,8,200,28.3684
112,100,36,8,200,58.4856
301,100,36,8,200,1.82976
303,100,36,8,200,12.6969
306,100,36,8,200,58.9212
308,100,36,8,200,9.4671
309,100,36,8,200,9.50694
