CS_Site_ID,CS_Site_Name,CS_Short_Name,CS_Site_Lat,CS_Site_Lon,CS_Site_Type_ID
1,Laugarvatn,LAU,64.216,-20.731,1
2,Reykholt,REH,64.178,-20.443,1
3,Laugaras,LAG,64.117,-20.5,1
4,Fludir,FLU,64.13,-20.321,1
5,Borg,BOR,64.076,-20.767,1
6,Arnes,ARN,64.046,-20.249,1
7,Brautarholt,BRA,64.023,-20.523,1
8,Eyrarbakki,EYR,63.863,-21.149,1
9,Stokkseyri,STO,63.835,-21.055,1
10,Thykkvibaer,THY,63.748,-20.609,1
11,Hvolsvollur,HVO,63.751,-20.224,1
102,Hveragerdi,HVE,64.002,-21.187,1
104,Thorlakshofn,THO,63.854,-21.382,1
105,Hella,HEL,63.84,-20.39,1
112,Selfoss,SEL,63.937,-21.002,1
301,Burfell,BUR,64.1,-19.84,1
303,Sultartangastifla,SUS,64.19,-19.57,1
306,Ljosafoss,LJO,64.094,-21.011,1
308,Sultartangi,SUL,64.167,-19.619,1
309,Sultartangavirkjun,SUV,64.168,-19.619,1
310,Laxa,LAX,64.167,-19.619,1
313,Hellisheidi,HEI,64.037,-21.401,1
403,Reykjavik,REY,64.075,-21.764,1
501,Oseyri,OSE,63.877,-21.214,1
502,Thjorsarbru,THJ,63.931,-20.649,1
